method,yaw_init_error_deg,trial,success,converged,initial_rotation_error_deg,initial_depth_rel_rmse,stage_rotation_error_deg,rotation_error_deg,tilt_error_deg,yaw_error_deg,depth_rel_rmse,depth_rel_median,inlier_depth_rel_rmse,inlier_depth_rel_median,cost,nfev
ba_uv_joint,30.0,4,False,False,39.73951664544614,0.9997500393835919,nan,39.72888641501216,23.992445680040795,29.993324560026153,1.8063360616110111,0.8191061211772145,1.7034567575342483,0.8178796042089307,47265.042692767245,90
ba_polar_plain_joint,30.0,4,False,False,39.73951664544614,0.9997500393835919,nan,39.73159041400579,23.985888213103475,29.9975571982866,2.042920169672867,0.7151580289867987,2.0381560207128238,0.7010064487228971,13627.95390017049,90
ba_polar_cov_joint,30.0,4,False,False,39.73951664544614,0.9997500393835919,nan,23.36574397555983,8.440148445083857,20.938259600709966,3.8977451443577724,0.6382372932619991,3.9597759421229766,0.6132282917619646,27144.583669439187,90
ba_polar_staged,30.0,4,False,True,39.73951664544614,0.9997500393835919,0.9858428235230483,0.9859109565016827,0.741241639205085,0.7557186239252577,0.6868172201316106,0.10606276247951718,0.3086284798398013,0.1025465643127398,5330.054457809559,96
ba_uv_joint,30.0,5,False,False,37.792453531833495,1.01203337174137,nan,37.7909947501151,23.998564134111405,29.999143276348338,2.1111764711527834,0.7805345640915688,2.0799834072292427,0.7805345640915688,19868.945132396086,90
ba_polar_plain_joint,30.0,5,False,False,37.792453531833495,1.01203337174137,nan,37.79192148608629,23.99907315089241,29.999983828376923,3.1076942952218514,0.7927820163327066,3.149117372665123,0.7924510241971707,14812.735932018444,90
ba_polar_cov_joint,30.0,5,False,False,37.792453531833495,1.01203337174137,nan,37.792178959078676,23.99966485881316,29.999908812343286,2.0187199593313876,0.7780921633887532,1.9234076423953053,0.7720413458941322,22329.799430157917,90
ba_polar_staged,30.0,5,False,True,37.792453531833495,1.01203337174137,0.3628774970078086,0.36214306493316983,0.0791289858742984,0.33802981231170975,0.6961626162468317,0.074673239611246,0.33044884248488887,0.06802790585714796,5751.733581550659,91
ba_uv_joint,60.0,0,False,False,59.251902024798945,0.8741264608009544,nan,59.234120271767786,23.99283955549094,59.98127844360957,6.326961848649976,4.804168534233579,6.434594689411701,4.804168534233579,47333.739932159384,90
ba_polar_plain_joint,60.0,0,False,False,59.251902024798945,0.8741264608009544,nan,59.24864756277874,23.9975979792504,59.99677740728714,5.534037909144853,3.9348122262646203,5.638652813567337,3.9348122262646203,19079.90553178516,90
ba_polar_cov_joint,60.0,0,False,False,59.251902024798945,0.8741264608009544,nan,36.176423357785616,23.9968944013219,32.944990626147494,4.606041085182297,0.6917649678930442,4.6594063250486,0.6601340310746353,33568.048749539885,90
ba_polar_staged,60.0,0,False,True,59.251902024798945,0.8741264608009544,0.3023362498706635,0.30221000480644683,0.23693940575546393,0.2116911457238559,0.6847201950210957,0.07682620930198343,0.30397067935855865,0.06898860552385638,5476.775923573899,94
ba_uv_joint,60.0,1,False,False,57.774994600664364,0.6578155610355496,nan,57.72317646892597,23.996434629752912,59.94416928427138,7.074550536853748,5.670005247047161,7.211182367984761,5.990352252348425,63205.53101753687,90
ba_polar_plain_joint,60.0,1,False,False,57.774994600664364,0.6578155610355496,nan,57.74921654875728,23.989488370324214,59.97049952015562,6.780963717665655,5.506155913016414,6.949411289357756,5.7686269615329335,24162.92467250581,90
ba_polar_cov_joint,60.0,1,False,False,57.774994600664364,0.6578155610355496,nan,20.32346467513913,14.691717158425796,18.49662999902095,4.178555627228991,0.8114343785293278,4.215238230583462,0.6890370074589636,22636.705835609995,90
ba_polar_staged,60.0,1,False,True,57.774994600664364,0.6578155610355496,0.7445162818452262,0.7431687179064418,0.41421606229141167,0.6621089626489747,0.6461917103860559,0.07941589815042102,0.194921566773387,0.07754696352961948,5652.755412269589,94
ba_uv_joint,60.0,2,False,False,67.4559927438786,0.8655044659540354,nan,67.44320401210517,23.985020692933713,59.994011237557146,4.274059256196606,0.8614243830413892,4.356244823027115,0.8550486291085734,81761.03086709885,90
ba_polar_plain_joint,60.0,2,False,False,67.4559927438786,0.8655044659540354,nan,67.4456877881134,23.99872212081292,59.989487588428524,3.9866439814319183,0.7136348561283593,4.087970953507459,0.6684955578512068,20132.143484582484,90
ba_polar_cov_joint,60.0,2,False,False,67.4559927438786,0.8655044659540354,nan,9.369022041610407,4.824949831052732,7.667960610034373,1.138831185240316,0.46342964056079916,0.9964045905739589,0.45948560229323043,13500.366868002817,90
ba_polar_staged,60.0,2,False,True,67.4559927438786,0.8655044659540354,1.1804988777129053,1.179196377454082,0.5962933441626994,1.0943583799978598,0.6710095681698822,0.11729756268767572,0.27007421897414813,0.11631101667586116,5323.099183735791,93
ba_uv_joint,60.0,3,False,False,57.19552546418368,0.9013832024950741,nan,20.889358953066107,21.24724791282638,7.234241600747347,1.1111315875829917,0.6310932498209278,0.9528207085072703,0.6302028572672387,31318.6526930235,90
ba_polar_plain_joint,60.0,3,False,False,57.19552546418368,0.9013832024950741,nan,8.511332428950972,8.182570759764873,4.5638935906442795,2.1612539405729674,0.3915667697361579,2.120059155128624,0.3855476237577269,6338.473164431716,90
ba_polar_cov_joint,60.0,3,False,False,57.19552546418368,0.9013832024950741,nan,18.95170192248494,19.486449742872857,4.423583327802299,1.7170471400746259,0.5133967720060886,1.5352743266806368,0.4771444880582571,33535.21993017344,90
ba_polar_staged,60.0,3,False,True,57.19552546418368,0.9013832024950741,1.3886482676277763,1.3876884004949452,0.9788600554846034,1.0050136675426613,0.6978658158989924,0.15774711582798195,0.3336528905866931,0.15188982378001328,5523.339876521255,94
ba_uv_joint,60.0,4,False,False,62.83187921030132,1.2389871622139534,nan,38.078546353573074,32.113841575908864,17.6814485010781,0.9325971575580445,0.8279822744765246,0.9364965338557303,0.8279822744765246,51427.63071912474,90
ba_polar_plain_joint,60.0,4,False,False,62.83187921030132,1.2389871622139534,nan,62.804156707470646,23.99588239422238,59.97428001128956,7.394827328571023,6.121477406724679,7.584058107238551,6.503865999315158,25802.57382997088,90
ba_polar_cov_joint,60.0,4,False,False,62.83187921030132,1.2389871622139534,nan,14.893828599826605,7.389161598714138,11.37010962389061,3.71511457078798,0.464308867636619,3.7695855508097416,0.39081374260983714,23098.539025707167,90
ba_polar_staged,60.0,4,False,True,62.83187921030132,1.2389871622139534,1.3748581319251223,1.374376285217317,1.0410474688287203,1.0768850593325237,0.6848627693619739,0.09465904627428438,0.3038333164183112,0.09145287611050873,5448.497864321778,94
ba_uv_joint,60.0,5,False,False,70.335039075319,0.8236692961651984,nan,25.852854904932553,14.128564022398113,23.955233003638547,3.392050284800915,0.7450652873274326,3.3880757664131003,0.7213164499800515,18589.20442704284,90
ba_polar_plain_joint,60.0,5,False,False,70.335039075319,0.8236692961651984,nan,11.043009385546352,8.822281553486718,4.964645338854399,2.7990576351218177,0.5031482857508617,2.773457510897793,0.498479878395324,5181.42039739968,90
ba_polar_cov_joint,60.0,5,False,False,70.335039075319,0.8236692961651984,nan,9.023041993682602,4.030681237761528,8.53751260779832,2.704978029443137,1.1323161187542923,2.710194133089011,1.309957773234237,9653.104574835805,90
ba_polar_staged,60.0,5,False,True,70.335039075319,0.8236692961651984,0.7590829943137697,0.7579450812917986,0.3012995378129827,0.7222189211653867,0.6405225975944941,0.07711376130432208,0.17408389200109098,0.06996819528786566,5369.0560009916035,101
ba_uv_joint,100.0,0,False,False,96.02057735423007,0.8560428521258053,nan,53.57865331828204,14.46653726023354,54.18059583611558,4.979712173969987,1.8958419514577183,5.048238939776639,1.8958419514577183,36650.49301881192,90
ba_polar_plain_joint,100.0,0,False,False,96.02057735423007,0.8560428521258053,nan,19.23614059379898,14.927548543202006,9.266857159338072,4.077999692937236,0.6289838369370501,4.17664330699211,0.6056267689773628,8950.500742316459,90
ba_polar_cov_joint,100.0,0,False,False,96.02057735423007,0.8560428521258053,nan,32.30841885705218,18.67066626019944,32.047127589500086,4.663936581383569,2.1250961255992777,4.718903596363692,2.1250961255992777,29406.485577683605,90
ba_polar_staged,100.0,0,False,True,96.02057735423007,0.8560428521258053,0.8353469326837578,0.8296984075380712,0.8290938995615346,0.11268111975931726,0.6871638328783987,0.12794092673231813,0.3143246882293341,0.10843522346413595,5029.761095763282,91
ba_uv_joint,100.0,1,False,False,108.83630000838532,0.8377962929947128,nan,49.91286428729061,9.553825044021004,51.32819428157091,5.056104932036713,1.2482861758197916,5.137002243019773,1.2482861758197916,32934.22507660629,90
ba_polar_plain_joint,100.0,1,False,False,108.83630000838532,0.8377962929947128,nan,108.78327068279253,23.983767313795852,99.95351730367835,6.309958661934762,4.7446568083774165,6.485276096213649,5.160865966778592,30192.339332354044,90
ba_polar_cov_joint,100.0,1,False,False,108.83630000838532,0.8377962929947128,nan,7.863229336153788,8.07048955679412,2.815084227547783,2.8573972886046612,0.8156621221280347,2.8710730595341416,0.7839780128029818,13693.907189668309,90
ba_polar_staged,100.0,1,False,True,108.83630000838532,0.8377962929947128,0.8486068228365142,0.8487827478762303,0.46145408038071783,0.8072724005412225,0.6598743931944333,0.09542815336473844,0.23852285061897557,0.08710633385277747,5542.859368022067,91
