method,yaw_init_error_deg,trial,success,converged_2deg,rotation_error_deg,roll_error_deg,pitch_error_deg,yaw_error_deg,cost,nfev,condition,tilt_yaw_coupling
polar_cov_joint,15.0,0,True,True,0.012491771702060318,-0.012700170223672645,-0.0016311336436003428,0.002354677996587855,221.2959970731859,13,2.0840008528339777,0.0957348504273546
polar_staged,15.0,0,True,True,0.012491746960462569,-0.012700146098538817,-0.0016311226029774538,0.0023546742944826364,221.29599707319048,23,2.0840008555142386,0.0957348503478309
uv_joint,15.0,1,True,True,0.01752538123823646,-0.01669248459427824,-0.006503600422661839,0.003199115064790307,243.3056367520263,8,2.0834359343254203,0.09576426841402834
polar_plain_joint,15.0,1,True,True,0.1667260519887687,-0.042682409175110604,-0.032502416005712534,0.1677644355704178,482.7258695617683,17,2.07978273524773,0.09592237710291328
polar_cov_joint,15.0,1,True,True,0.012491754546335013,-0.012700153439562763,-0.001631126394427634,0.0023546755652064677,221.2959970731888,12,2.084000854633171,0.09573485039920755
polar_staged,15.0,1,True,True,0.01249174701881545,-0.012700146171758365,-0.0016311225462474904,0.002354674295023331,221.29599707318982,26,2.0840008555310154,0.09573485035224137
uv_joint,15.0,2,True,True,0.017525383234690127,-0.016692485070378647,-0.006503604453671398,0.0031991135274310354,243.30563675202487,14,2.0834359337813497,0.09576426843242712
polar_plain_joint,15.0,2,True,True,0.1667261587885612,-0.04268275824692499,-0.03250227253059506,0.16776456678681242,482.72586956284186,20,2.079782709409729,0.0959223764376287
polar_cov_joint,15.0,2,True,True,0.012491771176885404,-0.012700169680096766,-0.001631133365665982,0.002354678086931511,221.2959970731863,15,2.0840008530400795,0.09573485041518906
polar_staged,15.0,2,True,True,0.012491747077168332,-0.012700146216138235,-0.001631122526871551,0.0023546743829974733,221.29599707319127,24,2.0840008554326523,0.09573485034539245
uv_joint,15.0,3,True,True,0.017525381071865315,-0.016692484460410283,-0.0065036004761699,0.0031991153392658153,243.30563675202671,9,2.0834359342635707,0.09576426841676158
polar_plain_joint,15.0,3,True,True,0.16672611224837838,-0.04268245698500025,-0.0325023207124617,0.1677645171676086,482.72586956136615,17,2.079782735570842,0.09592237657404426
polar_cov_joint,15.0,3,True,True,0.012491771001827095,-0.012700169482455509,-0.001631133166987863,0.002354678236112248,221.29599707318545,13,2.084000852938078,0.09573485041475284
polar_staged,15.0,3,True,True,0.012491746960462569,-0.012700146149599441,-0.0016311225498192533,0.002354674230992404,221.29599707319153,22,2.084000855652434,0.0957348503587289
uv_joint,15.0,4,True,True,0.017525381071865315,-0.016692484452956652,-0.006503600346153596,0.003199114964583751,243.30563675202558,15,2.0834359342036057,0.09576426841621033
polar_plain_joint,15.0,4,True,True,0.16672532121193215,-0.042682173755244586,-0.03250319340324729,0.16776351299388675,482.7258695762277,17,2.0797827184246445,0.09592238137433652
polar_cov_joint,15.0,4,True,True,0.012491770943474324,-0.012700169464668256,-0.001631133314959989,0.0023546782918864545,221.29599707318565,14,2.084000853085404,0.09573485044967858
polar_staged,15.0,4,True,True,0.012491746960462569,-0.01270014616695255,-0.0016311224715298996,0.0023546744847084316,221.295997073189,26,2.0840008555863467,0.0957348503588018
uv_joint,15.0,5,True,True,0.017525381155050885,-0.01669248456246156,-0.0065036003228067345,0.0031991149603599746,243.30563675202663,13,2.0834359341762245,0.09576426842028757
polar_plain_joint,15.0,5,True,True,0.16672607470143702,-0.04268246185173235,-0.032502378976072846,0.16776446548376994,482.725869561586,13,2.079782732214202,0.09592237691053203
polar_cov_joint,15.0,5,True,True,0.012491771351943712,-0.012700169837930202,-0.0016311333984622715,0.0023546781022140764,221.29599707318573,13,2.084000852949672,0.09573485043876559
polar_staged,15.0,5,True,True,0.012491747077168332,-0.012700146220245921,-0.0016311224982576908,0.002354674238113666,221.29599707319034,28,2.0840008554044367,0.09573485034041214
uv_joint,15.0,6,True,True,0.01752538123823646,-0.016692484544726785,-0.006503600449362596,0.003199115067948598,243.305636752027,14,2.083435934113816,0.09576426842570057
polar_plain_joint,15.0,6,True,True,0.1667253050790884,-0.04268231590245981,-0.03250322275784913,0.16776348555973247,482.72586957695233,18,2.0797827033009137,0.09592238158641353
polar_cov_joint,15.0,6,True,True,0.012491771001827095,-0.012700169501047442,-0.0016311332373544546,0.0023546780595373935,221.29599707318644,16,2.084000852995479,0.09573485043713406
polar_staged,15.0,6,True,True,0.012491747077168332,-0.012700146236372924,-0.0016311224305293691,0.0023546741910096505,221.29599707319102,25,2.084000855364197,0.0957348503675633
uv_joint,15.0,7,True,True,0.01752538123823646,-0.0166924845946281,-0.006503600352191879,0.0031991148850857875,243.30563675202507,12,2.083435934029822,0.09576426840955629
