method,yaw_init_error_deg,trial,success,converged,initial_rotation_error_deg,initial_translation_error_m,initial_depth_rel_rmse,stage_rotation_error_deg,rotation_error_deg,translation_error_m,tilt_error_deg,yaw_error_deg,depth_rel_rmse,depth_rel_median,inlier_depth_rel_rmse,inlier_depth_rel_median,cost,nfev
ba_polar_staged,60.0,3,False,True,62.67605567543793,0.28,0.742155902668577,2.296481687575367,2.2852121972856514,0.2798231296600294,2.1843959675166484,1.0057859485536995,1.618228651358555,0.14663289344224076,0.40625496459341087,0.11815098162705948,18958.613066406902,109
ba_uv_joint,60.0,4,False,False,69.0683139356026,0.27999999999999997,0.6146874609999071,nan,69.05409478081162,0.2800333776497311,23.985402428896414,59.99417035165238,4.302342855484959,3.102600457629131,3.8361756881736695,2.7571096015276395,145429.19124602797,120
ba_polar_plain_joint,60.0,4,False,False,69.0683139356026,0.27999999999999997,0.6146874609999071,nan,69.0429496716968,0.2800851609999382,23.98690437424915,59.98127381396821,3.6493172319603735,1.0450183261710206,3.387129161902538,0.7983240971216472,61918.16427237415,120
ba_polar_cov_joint,60.0,4,False,False,69.0683139356026,0.27999999999999997,0.6146874609999071,nan,38.216316616254474,0.28001406421793573,19.31038873234014,35.13289694722493,4.521661851813177,3.6088470516492497,4.030735548089719,3.60539579518501,84522.70191852552,120
ba_polar_staged,60.0,4,False,True,69.0683139356026,0.27999999999999997,0.6146874609999071,1.2586006402402115,1.2581592633830156,0.27992949946502327,1.2642349955203176,0.5738644820156972,1.4620842221875665,0.12729373835078178,0.2699725110601163,0.12382576530633091,17458.868856450543,123
ba_uv_joint,60.0,5,False,False,64.33248746823669,0.28,0.6552705847533208,nan,40.85542761651609,0.2799823268052581,19.377453241740717,37.285828301153934,2.4503868726061033,0.769525613001752,1.962610767533001,0.7691986850039919,62279.676266891285,120
ba_polar_plain_joint,60.0,5,False,False,64.33248746823669,0.28,0.6552705847533208,nan,64.16628868385519,0.28003439489955784,23.980966712164815,59.825073590627966,1.6222516051800615,0.2742568988296259,0.8257667131233255,0.23305126929946818,39019.04344317563,120
ba_polar_cov_joint,60.0,5,False,False,64.33248746823669,0.28,0.6552705847533208,nan,33.74325379281842,0.28000801782312973,15.680850992054628,31.960018111128445,2.0107221539917437,0.3982599382237373,1.480506276832362,0.3798448381556795,41834.71318334406,120
ba_polar_staged,60.0,5,False,True,64.33248746823669,0.28,0.6552705847533208,1.5914283678894303,1.5855780677759492,0.27992828393380276,1.5880597672613141,0.3645397712125272,1.4624582665945622,0.10698243428556115,0.23289565645370874,0.10556705537666397,17800.576316013452,111
ba_uv_joint,100.0,0,False,False,104.45065290786549,0.28,0.726048441593452,nan,54.77242532671633,0.2800975940866606,39.95825343336702,47.93090875239015,2.7817490806526717,0.6834404697782162,2.406488645735854,0.6752700795065895,94714.66832502781,120
ba_polar_plain_joint,100.0,0,False,False,104.45065290786549,0.28,0.726048441593452,nan,101.74973337613456,0.2800121911359774,30.137353667204376,99.99357016297878,3.2189231214108425,0.7689374043212127,2.96034925640096,0.7480053657905762,57562.59215145128,120
ba_polar_cov_joint,100.0,0,False,False,104.45065290786549,0.28,0.726048441593452,nan,101.74086027246489,0.2800819067569955,24.001326858470193,99.98428696674712,2.8315260508359437,0.6098057426288949,2.526189785292121,0.5962897529903113,162193.0024331355,120
ba_polar_staged,100.0,0,False,True,104.45065290786549,0.28,0.726048441593452,1.740618731095974,1.7396524753546991,0.2799534601888062,1.7558727336854365,1.4933630173036283,1.4873262034381995,0.16234763284356557,0.3985626728554596,0.15351366144092518,19752.97516627702,122
ba_uv_joint,100.0,1,False,False,100.90022341827978,0.28,0.762197005969388,nan,98.02021647139887,0.2909666631552314,28.855700770177116,97.1095070018554,1.554916441675103,0.7285501492440116,0.6902402182522471,0.729911324935588,123985.39585497812,120
ba_polar_plain_joint,100.0,1,False,False,100.90022341827978,0.28,0.762197005969388,nan,28.429353488117513,0.2800075502888837,25.112499766545124,15.831659866383244,2.701660888669044,0.47998339391739575,2.375896770311415,0.45931782147984046,44189.76783059714,120
ba_polar_cov_joint,100.0,1,False,False,100.90022341827978,0.28,0.762197005969388,nan,28.839154704147404,0.27998784299692464,23.99413540248625,17.44603347807606,2.111450746500143,0.6389552571162007,1.5944213981439044,0.6365700278121803,64113.02428874799,120
